Type;Name;Desc;Marque;Gamme;Quantité;Prix vente;Prix revient;Crit 1;Crit 2;Crit 3;Crit 4;Crit 5;Actif;img1;img2;img3;img4;img5;
1;AMD Radeon RX 6800 XT GAMING X TRIO 16G;La carte graphique AMD Radeon RX 6800 XT est propulsée par l'architecture AMD RDNA 2. Elle dotée de 72 unités de calcul améliorées,du nouvel AMD Infinity Cache de 128 Mo et jusqu'à 16 Go de mémoire dédiée GDDR6.;AMD;RX 6000;15;900;180;16 GB;2285 MHz;300 Watt;Oui;;;https://media.ldlc.com/r374/ld/products/00/06/05/79/LD0006057924.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/79/LD0006057925.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/79/LD0006057926.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/79/LD0006057927.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/79/LD0006057928.jpg;
1;Gigabyte GeForce RTX 4080 SUPER WINDFORCE OC V2 16G;Des jeux ultra-réalistes,ultra-fluides et ultra-immersifs,la carte graphique Gigabyte GeForce RTX 4080 SUPER WINDFORCE OC V2 16G met à votre disposition les technologies les plus avancées pour vous permettre de jouer dans les meilleures conditions,en très haute résolution ou en Réalité Virtuelle.;Nvidia;RTX 4000 SUPER;10;1133;226,6;16 GB;2300 MHz;320 Watt;Non;;;https://media.ldlc.com/r1600/ld/products/00/06/09/61/LD0006096161.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/61/LD0006096162.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/61/LD0006096163.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/61/LD0006096164.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/61/LD0006096165.jpg;
1;ASUS Dual Radeon RX 7800 XT O16G;L'architecture RDNA 3 d'AMD vous propulse dans le monde du jeu vidéo de manière unique et spectaculaire avec la carte graphique ASUS Dual Radeon RX 7800 XT O16G. Elle est parfaite pour le jeu en 1440p et au-delà.;AMD;RX 7000;12;619;123,8;16 GB;2565 MHz;270 Watt;Non;;;https://media.ldlc.com/r1600/ld/products/00/06/09/34/LD0006093434.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/34/LD0006093435.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/34/LD0006093436.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/34/LD0006093437.jpg;https://media.ldlc.com/r1600/ld/products/00/06/09/34/LD0006093438.jpg;
1;ASUS Dual GeForce RTX 4060 OC Edition 8GB;Basée sur l'architecture NVIDIA Ada Lovelace,la carte graphique ASUS Dual GeForce RTX 4060 OC Edition 8GB s'appuie sur la technologie DLSS 3 et le ray tracing matériel pour sublimer les jeux les plus récents et vous permettre de vivre une expérience vidéoludique immersive et réaliste.;Nvidia;RTX 4000;13;359;71,8;8 GB;1700 MHz;115 Watt;Non;;;https://media.ldlc.com/r1600/ld/products/00/06/04/66/LD0006046611.jpg;https://media.ldlc.com/r1600/ld/products/00/06/04/66/LD0006046602_0006046607.jpg;https://media.ldlc.com/r1600/ld/products/00/06/04/66/LD0006046603_0006046608.jpg;https://media.ldlc.com/r1600/ld/products/00/06/04/66/LD0006046604_0006046609.jpg;https://media.ldlc.com/r1600/ld/products/00/06/04/66/LD0006046605_0006046610.jpg;
